id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
EIF4G1	4	0.00018375	0.00069907	0.763452	16	3	-0.64877	0.98065	0.98068	1.0	18719	0	-0.64877
KIAA1919	4	0.00020357	0.00077211	0.763452	17	2	-0.36706	0.26396	0.40936	1.0	7716	2	-0.36706
LY6G5B	4	0.00020577	0.00077988	0.763452	18	3	-0.87371	0.69442	0.72516	1.0	13711	1	-0.87371
MFAP5	4	0.00023082	0.00086847	0.763452	19	2	-0.79075	0.32686	0.47254	1.0	8893	1	-0.79075
MAP1S	4	0.00023141	0.00087106	0.763452	20	4	-0.90133	0.99977	0.99977	1.0	19107	0	-0.90133
GUCY1A2	4	0.00023625	0.00088608	0.763452	21	3	-0.32047	0.82644	0.82607	1.0	15657	1	-0.32047
OR9Q2	4	0.00024758	0.00091872	0.763452	22	2	-0.39372	0.38214	0.5286	1.0	9983	2	-0.39372
SMAD4	4	0.00028178	0.0010446	0.831889	23	3	-0.77621	0.88574	0.88536	1.0	16803	0	-0.77621
ZNF121	4	0.00033702	0.0012399	0.859167	24	4	-0.59145	0.99966	0.99967	1.0	19106	0	-0.59145
ACRC	4	0.00034123	0.0012539	0.859167	25	4	-0.79256	0.99439	0.99444	1.0	18990	0	-0.79256
SAMD4B	4	0.00034653	0.0012746	0.859167	26	4	-0.79987	0.99965	0.99966	1.0	19105	0	-0.79987
SMOX	4	0.00034893	0.001286	0.859167	27	4	-0.68339	0.99965	0.99966	1.0	19104	0	-0.68339
OTUD5	4	0.00035419	0.0013036	0.859167	28	4	-0.73016	0.99965	0.99965	1.0	19103	0	-0.73016
FAM200B	4	0.00036551	0.0013554	0.863531	29	3	-1.4574	0.95767	0.95764	1.0	18255	0	-1.4574
NAP1L4	4	0.00039372	0.0014471	0.87125	30	2	-0.24783	0.13838	0.28178	1.0	5311	2	-0.24783
LILRB3	4	0.00041145	0.0015113	0.87125	31	4	-0.59712	0.99959	0.9996	1.0	19102	0	-0.59712
TTC26	4	0.00042279	0.0015466	0.87125	32	4	-0.54082	0.99958	0.99959	1.0	19101	0	-0.54082
Mar-01	7	0.00042786	0.0025712	0.87125	33	3	-0.20255	0.39144	0.61367	1.0	10173	3	-0.20255
CDC14A	4	0.00044621	0.0016331	0.87125	34	2	-0.22453	0.69065	0.72285	1.0	13670	1	-0.22453
TCEB2	4	0.00047177	0.0017346	0.87125	35	4	-1.6788	0.99953	0.99955	1.0	19100	0	-1.6788
C1orf64	4	0.00047579	0.0017496	0.87125	36	3	-1.0378	0.65908	0.70393	1.0	13304	1	-1.0378
APLF	4	0.00048509	0.0017854	0.87125	37	3	-1.3287	0.91711	0.9169	1.0	17432	0	-1.3287
RP1L1	4	0.00049869	0.0018351	0.87125	38	3	-0.35592	0.96488	0.96484	1.0	18399	0	-0.35592
OR5H15	4	0.00053282	0.0019532	0.87125	39	2	-0.33119	0.27336	0.4188	1.0	7899	1	-0.33119
SLC4A2	4	0.00055118	0.0020138	0.87125	40	3	-0.34266	0.67854	0.71538	1.0	13512	1	-0.34266
PSD3	4	0.00056503	0.0020749	0.87125	41	3	-0.5506	0.97295	0.97291	1.0	18571	0	-0.5506
SCLT1	4	0.00056753	0.0020869	0.87125	42	3	-0.79833	0.53696	0.64135	1.0	12170	1	-0.79833
DEFB107B	1	0.00057098	0.00057475	0.763452	43	1	-1.278	0.99943	0.99946	1.0	19098	0	-1.278
TMEM51	4	0.00059334	0.0021765	0.87125	44	3	-0.74271	0.96235	0.96228	1.0	18345	0	-0.74271
ARMC6	4	0.00059463	0.0021806	0.87125	45	4	-0.69531	0.99687	0.99687	1.0	19041	0	-0.69531
RRAGA	4	0.00059923	0.0021972	0.87125	46	3	-0.66983	0.2093	0.35449	1.0	6696	1	-0.66983
LUZP2	4	0.00060366	0.0022158	0.87125	47	2	-0.23602	0.84173	0.841	1.0	15965	0	-0.23602
CABS1	4	0.00064226	0.0023536	0.87125	48	3	-0.77088	0.16703	0.31184	1.0	5867	1	-0.77088
CRYGA	4	0.00065555	0.0024039	0.87125	49	4	-0.72487	0.99934	0.99935	1.0	19097	0	-0.72487
MYH8	4	0.00065614	0.0024054	0.87125	50	1	-0.086846	0.37539	0.52175	1.0	9846	1	-0.086846
ICMT	4	0.00065771	0.0024127	0.87125	51	4	-0.82854	0.99934	0.99935	1.0	19096	0	-0.82854
ZNF263	4	0.00066214	0.0024308	0.87125	52	4	-0.69154	0.99934	0.99934	1.0	19095	0	-0.69154
NGF	4	0.00068334	0.002509	0.87125	53	4	-0.57105	0.99808	0.9981	1.0	19065	0	-0.57105
ZNF853	4	0.00070861	0.0026018	0.87125	54	1	-0.029885	0.4028	0.54956	1.0	10431	1	-0.029885
DENND2D	4	0.00072947	0.0026733	0.87125	55	4	-0.56053	0.99927	0.99927	1.0	19094	0	-0.56053
SPANXB1	4	0.00074285	0.0027225	0.87125	56	4	-0.58796	0.99926	0.99926	1.0	19093	0	-0.58796
ARID3C	4	0.00074703	0.0027334	0.87125	57	3	-0.67457	0.94984	0.94977	1.0	18115	0	-0.67457
HTT	4	0.00075842	0.0027727	0.87125	58	3	-0.90129	0.93189	0.93165	1.0	17751	0	-0.90129
PHOSPHO2	4	0.00076109	0.002782	0.87125	59	2	-0.047584	0.35402	0.5001	1.0	9427	1	-0.047584
NHP2	4	0.00076269	0.0027867	0.87125	60	2	-0.15448	0.061231	0.14383	0.994916	2757	2	-0.15448
NEFH	4	0.00080219	0.0029328	0.87125	61	4	-0.45055	0.9992	0.99919	1.0	19092	0	-0.45055
PLEKHA6	4	0.00081356	0.0029742	0.87125	62	1	-0.0063355	0.80343	0.80521	1.0	15252	1	-0.0063355
KIR3DL3	4	0.00086603	0.0031612	0.87125	63	2	-0.008863	0.62117	0.68311	1.0	12933	1	-0.008863
TRPV6	4	0.00088034	0.0032125	0.87125	64	3	-0.9507	0.94892	0.94887	1.0	18099	0	-0.9507
FBXO41	4	0.00091656	0.0033425	0.87125	65	2	-0.22881	0.25408	0.39953	1.0	7548	2	-0.22881
USP11	4	0.0009185	0.0033534	0.87125	66	1	0.099947	0.29384	0.43931	1.0	8266	2	0.099947
BMPR1A	4	0.00092499	0.003383	0.87125	67	3	-0.67512	0.19628	0.34139	1.0	6442	1	-0.67512
LYPLAL1	4	0.00093387	0.0034109	0.87125	68	4	-0.84179	0.98466	0.98467	1.0	18803	0	-0.84179
PSG3	4	0.00096874	0.0035244	0.87125	69	4	-0.61781	0.99621	0.99625	1.0	19025	0	-0.61781
TUBA3D	4	0.00097097	0.0035311	0.87125	70	3	-0.4383	0.75515	0.76653	1.0	14477	1	-0.4383
ACTL7B	4	0.00097505	0.0035417	0.87125	71	4	-0.51278	0.99902	0.99901	1.0	19091	0	-0.51278
PLA2G10	4	0.00099563	0.0036119	0.87125	72	3	-1.3442	0.43754	0.58469	1.0	11101	1	-1.3442
C10orf88	4	0.0010234	0.0037083	0.87125	73	3	-0.5295	0.19886	0.34393	1.0	6489	1	-0.5295
CCDC168	4	0.0010375	0.0037663	0.87125	74	3	-1.3531	0.96234	0.96226	1.0	18344	0	-1.3531
C6orf25	4	0.0010719	0.0038891	0.87125	75	2	-0.44903	0.34442	0.49039	1.0	9243	2	-0.44903
GIMAP6	4	0.0010759	0.0039036	0.87125	76	2	-0.14758	0.39174	0.53826	1.0	10186	2	-0.14758
RHOV	4	0.0010849	0.0039362	0.87125	77	3	-0.57238	0.89716	0.89686	1.0	17027	0	-0.57238
SHC4	4	0.0011051	0.004016	0.87125	78	4	-0.61006	0.99889	0.99888	1.0	19090	0	-0.61006
IRX2	4	0.001122	0.0040719	0.87125	79	3	-0.70803	0.94069	0.94061	1.0	17928	0	-0.70803
FOLH1	4	0.0011284	0.0040932	0.87125	80	2	-0.43498	0.96342	0.96335	1.0	18368	0	-0.43498
RPS24	4	0.0011486	0.0041558	0.87125	81	3	-1.3294	0.70743	0.73336	1.0	13874	1	-1.3294
DKK2	4	0.0011539	0.0041792	0.87125	82	3	-0.70543	0.81456	0.81515	1.0	15429	1	-0.70543
DPCD	4	0.0011566	0.004188	0.87125	83	3	-0.60109	0.50783	0.6285	1.0	11922	1	-0.60109
MRPS35	4	0.0011808	0.0042786	0.87125	84	1	0.31644	0.069093	0.15877	1.0	3015	2	0.31644
OR51Q1	4	0.001206	0.0043708	0.87125	85	3	-0.68073	0.82446	0.82423	1.0	15622	1	-0.68073
ITGB8	4	0.0012236	0.0044351	0.87125	86	2	-0.84103	0.96693	0.96689	1.0	18439	0	-0.84103
CA7	4	0.0012245	0.0044382	0.87125	87	4	-0.666	0.99878	0.99877	1.0	19089	0	-0.666
CD5L	4	0.0012258	0.0044423	0.87125	88	3	-0.47805	0.98256	0.98258	1.0	18754	0	-0.47805
PPA1	4	0.0012333	0.004476	0.87125	89	2	-0.36978	0.1021	0.21905	1.0	4104	2	-0.36978
HIST1H4C	4	0.0012453	0.0045226	0.87125	90	4	-0.77223	0.99875	0.99875	1.0	19088	0	-0.77223
CRLF1	4	0.0012753	0.0046252	0.87125	91	4	-1.223	0.99872	0.99872	1.0	19087	0	-1.223
FOXD4L6	4	0.0012857	0.0046635	0.87125	92	2	-0.15803	0.89633	0.89603	1.0	17014	0	-0.15803
MAGEA10-MAGEA5	4	0.0012872	0.0046677	0.87125	93	4	-0.51342	0.99871	0.99871	1.0	19086	0	-0.51342
SLC6A11	4	0.0012876	0.0046682	0.87125	94	4	-0.52581	0.99871	0.99871	1.0	19085	0	-0.52581
GBX1	4	0.0013042	0.0047272	0.87125	95	2	-0.16923	0.085083	0.18838	1.0	3534	2	-0.16923
ADH1C	4	0.0013141	0.0047593	0.87125	96	3	-0.59962	0.956	0.95591	1.0	18225	0	-0.59962
S100A8	4	0.0013265	0.0048091	0.87125	97	4	-0.96354	0.99867	0.99868	1.0	19084	0	-0.96354
NME2	4	0.0013382	0.0048443	0.87125	98	1	0.40455	0.079316	0.17787	1.0	3340	3	0.40455
OR2M3	4	0.0013432	0.0048614	0.87125	99	2	-0.48123	0.94276	0.94267	1.0	17967	0	-0.48123
FRMPD2	4	0.0013686	0.0049526	0.87125	100	4	-0.69937	0.99863	0.99863	1.0	19083	0	-0.69937
CPT2	4	0.0013848	0.0050075	0.87125	101	4	-0.49783	0.99862	0.99862	1.0	19082	0	-0.49783
LDLRAP1	4	0.0013906	0.0050261	0.87125	102	1	0.36263	0.037347	0.097393	0.989852	1876	3	0.36263
OR51S1	4	0.0014144	0.005108	0.87125	103	4	-0.5306	0.99859	0.99859	1.0	19081	0	-0.5306
HNRNPCL2	4	0.0014336	0.00518	0.87125	104	4	-0.50773	0.99857	0.99857	1.0	19080	0	-0.50773
LIMD1	4	0.0014395	0.0052054	0.87125	105	3	-0.64656	0.5981	0.67099	1.0	12709	1	-0.64656
PCDH12	4	0.0014419	0.005217	0.87125	106	3	-0.83	0.94905	0.94898	1.0	18100	0	-0.83
GGT5	4	0.0014431	0.0052188	0.87125	107	3	-0.53018	0.65467	0.70137	1.0	13263	1	-0.53018
OLAH	4	0.0014484	0.0052354	0.87125	108	4	-1.0657	0.99202	0.99208	1.0	18938	0	-1.0657
CBLB	4	0.0014546	0.0052546	0.87125	109	3	-0.7121	0.97267	0.97262	1.0	18564	0	-0.7121
COL5A1	4	0.0014641	0.0052924	0.87125	110	4	-0.477	0.99854	0.99854	1.0	19079	0	-0.477
SEC22A	4	0.0014683	0.0053084	0.87125	111	3	-0.62519	0.17656	0.32153	1.0	6065	1	-0.62519
PCYOX1L	4	0.0014716	0.0053219	0.87125	112	3	-0.61435	0.98193	0.98196	1.0	18741	0	-0.61435
GOPC	4	0.001479	0.0053442	0.87125	113	4	-1.0837	0.99852	0.99853	1.0	19078	0	-1.0837
RPL39L	4	0.0014955	0.0054074	0.87125	114	3	-0.47954	0.89409	0.89377	1.0	16974	0	-0.47954
B4GALT7	4	0.0015001	0.0054307	0.87125	115	4	-0.68172	0.9985	0.99851	1.0	19077	0	-0.68172
PDCD2L	4	0.0015211	0.0055069	0.87125	116	4	-0.57058	0.99848	0.99849	1.0	19076	0	-0.57058
MORC4	4	0.001534	0.0055524	0.87125	117	3	-0.80837	0.93015	0.92994	1.0	17707	0	-0.80837
ARID5B	4	0.001548	0.0056022	0.87125	118	2	-0.41378	0.29967	0.44517	1.0	8386	1	-0.41378
KRTAP23-1	4	0.0015492	0.0056079	0.87125	119	4	-0.42957	0.99845	0.99847	1.0	19075	0	-0.42957
WDR35	4	0.001554	0.0056219	0.87125	120	3	-0.59087	0.40779	0.55458	1.0	10529	1	-0.59087
KLRG2	4	0.0015822	0.0057213	0.87125	121	4	-0.36945	0.99842	0.99843	1.0	19074	0	-0.36945
NABP2	4	0.0015939	0.0057628	0.87125	122	2	-0.33217	0.13917	0.28315	1.0	5338	2	-0.33217
PSCA	4	0.0015962	0.0057721	0.87125	123	4	-0.68971	0.9984	0.99842	1.0	19073	0	-0.68971
ANO2	4	0.0016004	0.0057881	0.87125	124	1	0.18501	0.16171	0.30646	1.0	5778	2	0.18501
LTB4R2	4	0.001614	0.0058342	0.87125	125	3	-0.4682	0.90768	0.90743	1.0	17263	0	-0.4682
VKORC1	4	0.0016528	0.0059762	0.87125	126	3	-0.31997	0.75662	0.76764	1.0	14500	1	-0.31997
CDPF1	4	0.0016604	0.0060031	0.87125	127	4	-0.58199	0.99506	0.99509	1.0	19004	0	-0.58199
RRAGC	4	0.0016649	0.0060176	0.87125	128	3	-0.54912	0.77146	0.77895	1.0	14713	1	-0.54912
TRIML1	4	0.0016737	0.006044	0.87125	129	4	-0.88385	0.99833	0.99834	1.0	19072	0	-0.88385
RPS27L	4	0.0016855	0.0060824	0.87125	130	2	-0.4455	0.71041	0.73529	1.0	13916	1	-0.4455
F2R	4	0.0016911	0.0061021	0.87125	131	4	-0.87869	0.99831	0.99832	1.0	19071	0	-0.87869
GJB6	4	0.0016999	0.0061316	0.87125	132	4	-1.2348	0.98824	0.98827	1.0	18865	0	-1.2348
SLC47A2	4	0.0017053	0.0061492	0.87125	133	2	-0.11408	0.74132	0.75644	1.0	14290	1	-0.11408
MACF1	4	0.0017062	0.0061539	0.87125	134	2	-0.62836	0.13374	0.27392	1.0	5154	1	-0.62836
ATXN7L3	4	0.0017063	0.0061539	0.87125	135	4	-0.93802	0.98836	0.98839	1.0	18869	0	-0.93802
DCDC2B	4	0.0017356	0.0062689	0.879372	136	3	-0.75348	0.018845	0.059455	0.967025	1153	1	-0.75348
AMY1A	4	0.0017577	0.0063435	0.879372	137	2	-0.24261	0.096987	0.20999	1.0	3924	2	-0.24261
FBLN5	4	0.0017635	0.0063673	0.879372	138	3	-0.674	0.9449	0.94476	1.0	18009	0	-0.674
POLQ	4	0.0017714	0.0063953	0.879372	139	4	-0.65589	0.98695	0.98697	1.0	18844	0	-0.65589
GUCA1C	4	0.0018102	0.0065289	0.884841	140	3	-0.49648	0.93852	0.93846	1.0	17876	0	-0.49648
SLIT2	4	0.0018183	0.0065538	0.884841	141	3	-0.58211	0.75249	0.76462	1.0	14442	1	-0.58211
ATF7	4	0.0018319	0.0066051	0.884841	142	4	-0.37148	0.99817	0.99819	1.0	19070	0	-0.37148
KITLG	4	0.001856	0.0066957	0.884841	143	4	-0.8077	0.99814	0.99817	1.0	19069	0	-0.8077
EXOSC9	4	0.0018619	0.0067102	0.884841	144	4	-0.85901	0.99814	0.99816	1.0	19068	0	-0.85901
ADORA3	4	0.0018626	0.0067128	0.884841	145	2	-0.3202	0.20487	0.35	1.0	6614	2	-0.3202
CCNL2	4	0.0018893	0.0068092	0.885417	146	4	-0.455	0.99811	0.99813	1.0	19067	0	-0.455
SMAD9	4	0.0018989	0.0068418	0.885417	147	4	-0.51369	0.9981	0.99812	1.0	19066	0	-0.51369
YTHDC2	4	0.001915	0.0069029	0.885417	148	2	0.057452	0.063157	0.1475	0.996953	2823	2	0.057452
FN3K	4	0.0019202	0.0069236	0.885417	149	3	-0.57341	0.89698	0.89668	1.0	17023	0	-0.57341
CSTB	4	0.0019388	0.0069806	0.885417	150	3	-0.8199	0.26214	0.40752	1.0	7684	1	-0.8199
FOXF1	4	0.0019416	0.0069951	0.885417	151	3	-0.73932	0.90287	0.90254	1.0	17156	0	-0.73932
AQP7	4	0.0019674	0.007092	0.891773	152	3	-0.70146	0.94599	0.94591	1.0	18030	0	-0.70146
H3F3C	4	0.0020199	0.0072821	0.909694	153	1	0.25144	0.38193	0.5284	1.0	9976	2	0.25144
CA14	4	0.0020574	0.0074002	0.91231	154	4	-0.56568	0.99794	0.99796	1.0	19064	0	-0.56568
LRRN1	4	0.0020723	0.0074608	0.91231	155	2	-0.24264	0.22203	0.36735	1.0	6952	1	-0.24264
DIAPH2	4	0.0020742	0.007466	0.91231	156	2	-0.37589	0.95303	0.95291	1.0	18179	0	-0.37589
DUOXA2	4	0.0020828	0.007494	0.91231	157	4	-0.70311	0.9866	0.9866	1.0	18837	0	-0.70311
ZNF749	4	0.0021115	0.0076038	0.919821	158	2	-0.33851	0.79251	0.79586	1.0	15065	1	-0.33851
IL10RB	4	0.0021433	0.0077188	0.922894	159	3	-0.92225	0.88381	0.88338	1.0	16773	0	-0.92225
CHRNB2	4	0.0021486	0.007739	0.922894	160	4	-0.55775	0.99785	0.99787	1.0	19063	0	-0.55775
SIX5	4	0.0021771	0.0078323	0.922894	161	2	-0.21556	0.57249	0.65812	1.0	12484	1	-0.21556
PCDH15	4	0.0022031	0.0079172	0.922894	162	3	-0.76093	0.94056	0.94048	1.0	17926	0	-0.76093
CLEC9A	4	0.0022295	0.0080167	0.922894	163	2	-0.050881	0.31341	0.45907	1.0	8652	1	-0.050881
BPI	4	0.002249	0.0080809	0.922894	164	3	-0.88543	0.030234	0.082971	0.980891	1613	1	-0.88543
KCNJ2	4	0.0022728	0.0081633	0.922894	165	3	-0.62631	0.50903	0.62898	1.0	11934	1	-0.62631
TBCCD1	4	0.0023074	0.0082881	0.922894	166	4	-0.5712	0.99769	0.9977	1.0	19062	0	-0.5712
UGT2B7	4	0.0023102	0.0082964	0.922894	167	4	-0.46378	0.99769	0.9977	1.0	19061	0	-0.46378
DHX32	4	0.0023147	0.0083135	0.922894	168	3	-0.53107	0.9795	0.97955	1.0	18701	0	-0.53107
PPP1R16A	4	0.0023344	0.0083834	0.922894	169	1	-0.012309	0.87152	0.87114	1.0	16559	0	-0.012309
CACNA1G	4	0.0023399	0.0084042	0.922894	170	4	-0.81105	0.99766	0.99767	1.0	19060	0	-0.81105
CPNE2	4	0.0023693	0.0085052	0.922894	171	3	-0.55772	0.036938	0.096557	0.989217	1860	1	-0.55772
PRSS42	4	0.0023759	0.0085331	0.922894	172	4	-0.48107	0.99762	0.99762	1.0	19059	0	-0.48107
CCDC39	4	0.002383	0.0085622	0.922894	173	4	-0.32803	0.99762	0.99762	1.0	19058	0	-0.32803
MAPK7	4	0.0023868	0.0085793	0.922894	174	2	0.0040239	0.13511	0.27625	1.0	5199	2	0.0040239
THOC6	4	0.002406	0.0086373	0.922894	175	2	-0.4283	0.027872	0.078192	0.97313	1535	1	-0.4283
ADGRL3	4	0.0024337	0.0087316	0.922894	176	2	-0.32747	0.1858	0.33083	1.0	6251	2	-0.32747
CYFIP2	4	0.002434	0.0087331	0.922894	177	4	-0.55909	0.99757	0.99757	1.0	19057	0	-0.55909
LTBR	4	0.0024916	0.0089243	0.922894	178	3	-0.71679	0.92807	0.92785	1.0	17658	0	-0.71679
G0S2	4	0.0025053	0.0089678	0.922894	179	4	-0.34129	0.99749	0.9975	1.0	19055	0	-0.34129
SPATA3	4	0.0025071	0.008974	0.922894	180	4	-0.49149	0.99749	0.9975	1.0	19054	0	-0.49149
IRAK4	4	0.0025429	0.0090931	0.922894	181	3	-0.65129	0.90612	0.90582	1.0	17228	0	-0.65129
FLT4	4	0.0025892	0.0092361	0.922894	182	4	-0.7166	0.99741	0.99741	1.0	19053	0	-0.7166
OR5A2	4	0.0025966	0.0092615	0.922894	183	4	-0.72428	0.99721	0.99722	1.0	19048	0	-0.72428
MBD3L5	4	0.0026256	0.0093584	0.922894	184	4	-0.52297	0.99737	0.99737	1.0	19052	0	-0.52297
MNDA	4	0.0026378	0.0093998	0.922894	185	4	-0.35182	0.99736	0.99737	1.0	19051	0	-0.35182
KERA	4	0.0026488	0.0094381	0.922894	186	2	-0.2727	0.29404	0.4395	1.0	8273	1	-0.2727
ASB2	4	0.0026533	0.0094459	0.922894	187	3	-0.62925	0.83582	0.83517	1.0	15841	1	-0.62925
RNF133	4	0.0027012	0.0096148	0.922894	188	2	-0.16505	0.30757	0.45313	1.0	8541	2	-0.16505
SLC25A45	4	0.0027464	0.0097759	0.922894	189	4	-0.42976	0.99725	0.99726	1.0	19050	0	-0.42976
ZNF232	4	0.0027517	0.0097935	0.922894	190	3	-1.0613	0.62994	0.68779	1.0	13013	1	-1.0613
SEC61A1	4	0.0027536	0.0098008	0.922894	191	1	0.14581	0.14819	0.29286	1.0	5530	2	0.14581
ACKR2	4	0.0027546	0.0098033	0.922894	192	4	-0.29572	0.99725	0.99725	1.0	19049	0	-0.29572
DMRTC1	4	0.0027945	0.0099499	0.922894	193	2	-0.77111	0.75377	0.76555	1.0	14463	1	-0.77111
CD300E	4	0.0028044	0.0099872	0.922894	194	3	-0.75695	0.97884	0.97887	1.0	18685	0	-0.75695
DOCK1	4	0.002806	0.0099919	0.922894	195	2	-0.32964	0.77252	0.77975	1.0	14727	1	-0.32964
ADGRF4	4	0.0028956	0.010312	0.922894	196	3	-0.66983	0.78422	0.78904	1.0	14922	1	-0.66983
AEN	4	0.0029314	0.010448	0.922894	197	3	-0.55657	0.97406	0.97399	1.0	18590	0	-0.55657
PCGF5	4	0.0029363	0.010465	0.922894	198	4	-0.46171	0.99706	0.99706	1.0	19047	0	-0.46171
AEBP1	4	0.0029416	0.010483	0.922894	199	4	-0.43456	0.99706	0.99705	1.0	19046	0	-0.43456
TOM1L1	4	0.0029517	0.010514	0.922894	200	3	-0.9239	0.89924	0.89893	1.0	17072	0	-0.9239
PCDHGA3	4	0.0029632	0.010557	0.922894	201	2	-0.26264	0.30408	0.44961	1.0	8475	1	-0.26264
NOX4	4	0.0029686	0.010574	0.922894	202	3	-0.50668	0.83645	0.8358	1.0	15854	0	-0.50668
KIAA1644	4	0.0030156	0.010739	0.922894	203	1	0.81644	0.0043733	0.015367	0.837335	346	3	0.81644
SLC6A19	4	0.0030321	0.010796	0.922894	204	4	-0.38205	0.99697	0.99696	1.0	19045	0	-0.38205
SAMSN1	4	0.0030356	0.010808	0.922894	205	3	-0.8852	0.94371	0.94362	1.0	17988	0	-0.8852
ERICH3	4	0.0030451	0.010838	0.922894	206	4	-0.78067	0.99695	0.99695	1.0	19044	0	-0.78067
HRH1	4	0.0030542	0.010872	0.922894	207	3	-0.64156	0.66813	0.70921	1.0	13395	1	-0.64156
STYX	4	0.0030679	0.010915	0.922894	208	2	-0.21837	0.93906	0.93904	1.0	17886	0	-0.21837
PPARGC1B	4	0.0030861	0.010968	0.922894	209	4	-0.39253	0.99691	0.99691	1.0	19043	0	-0.39253
NFYB	4	0.0030922	0.010989	0.922894	210	2	-0.33066	0.017862	0.057343	0.967025	1115	2	-0.33066
CCBL2	4	0.003093	0.010992	0.922894	211	4	-0.7665	0.99691	0.9969	1.0	19042	0	-0.7665
NEMF	4	0.0031203	0.011091	0.922894	212	1	0.17173	0.32426	0.46991	1.0	8838	2	0.17173
ADAMTS19	4	0.0031326	0.011129	0.922894	213	3	-0.78624	0.97595	0.97593	1.0	18635	0	-0.78624
C10orf35	4	0.0031584	0.01122	0.922894	214	2	-0.32333	0.83986	0.83915	1.0	15929	0	-0.32333
MUCL1	4	0.0031727	0.011269	0.922894	215	1	0.10276	0.25774	0.40314	1.0	7600	2	0.10276
DSCAML1	4	0.0031865	0.011314	0.922894	216	3	-0.47354	0.93281	0.93259	1.0	17767	0	-0.47354
SSX1	4	0.0031935	0.011338	0.922894	217	3	-0.88215	0.087564	0.19285	1.0	3615	1	-0.88215
GPHA2	3	0.0032059	0.008887	0.922894	218	1	-0.053924	0.87031	0.87041	1.0	16532	0	-0.053924
CLEC2A	4	0.0032111	0.011406	0.922894	219	2	-0.56789	0.7845	0.78926	1.0	14928	1	-0.56789
AARS	4	0.0032251	0.011457	0.922894	220	2	-0.42263	0.94311	0.94301	1.0	17974	0	-0.42263
METTL2A	4	0.0032487	0.011546	0.922894	221	4	-0.7811	0.99675	0.99676	1.0	19040	0	-0.7811
SLC35E2	4	0.0032544	0.011569	0.922894	222	3	-0.58871	0.95762	0.95758	1.0	18254	0	-0.58871
SORT1	4	0.0032775	0.011643	0.922894	223	2	0.051289	0.072621	0.16539	1.0	3131	2	0.051289
MKRN2	4	0.0032786	0.011646	0.922894	224	3	-0.64176	0.9839	0.9839	1.0	18782	0	-0.64176
INHBA	4	0.0032917	0.011681	0.922894	225	3	-0.43872	0.25252	0.39789	1.0	7515	1	-0.43872
KDELC2	4	0.0033167	0.01177	0.922894	226	3	-0.53824	0.95905	0.95897	1.0	18280	0	-0.53824
CBFA2T3	4	0.0033266	0.011809	0.922894	227	4	-0.29552	0.99667	0.99668	1.0	19039	0	-0.29552
DNAI1	4	0.0033591	0.011922	0.922894	228	3	-0.52366	0.83955	0.83886	1.0	15919	0	-0.52366
IL3	4	0.0033822	0.012006	0.922894	229	2	-0.12163	0.92812	0.92791	1.0	17660	0	-0.12163
CCDC134	4	0.0033863	0.01202	0.922894	230	3	-0.49791	0.8638	0.86337	1.0	16385	0	-0.49791
STRN	4	0.0033899	0.012032	0.922894	231	4	-0.44728	0.99661	0.99662	1.0	19038	0	-0.44728
