sgRNA	Gene	BM	CNS
BruLib61144	FRMPD2	11370.277041479683	46.54030511288038
BruLib29145	ZNF234	16697.619530939133	34.29285639896449
BruLib13238	PCSK6	136618.68697949045	5817.538139110047
BruLib47016	SMAP1	2125.5629842467615	546.2362126406487
BruLib23262	VNN2	57442.52647647037	11588.535973107215
BruLib68622	KRTAP13-2	20074.761517886083	73.48469228349533
BruLib40681	CDHR2	142979.81958304465	257.1964229922337
BruLib2444	CBR1	29511.808619601747	26.944387170614956
BruLib76840	Non-Targeting Control	67012.5096530491	95.53009996854394
BruLib77257	Non-Targeting Control	23228.457761978083	744.6448818060861
BruLib73695	C18orf42	133827.02940736598	205.75713839378693
BruLib24916	AKAP7	4713.573803389525	4.898979485566356
BruLib22130	PARG	206453.96690303626	298.8377486195477
BruLib39285	ASB2	54732.89329096352	63.68673331236263
BruLib38313	UBAP1	10545.79053461617	36.74234614174767
BruLib60418	KLF14	93275.86971987985	127.37346662472525
BruLib63996	GALNTL5	244814.50978240647	266.9943819633664
BruLib53900	GPR174	70714.92075934187	73.48469228349533
BruLib31915	MAPK8IP3	11281.181587050178	12.24744871391589
BruLib63579	ZNF320	2404.1630560342614	198.4086691654374
BruLib7661	GPX1	34013.25038863531	227.80254607883555
BruLib54393	FBXO18	17355.22883744262	85.73214099741122
BruLib40513	PCSK4	59531.31990809543	71.03520254071216
BruLib64029	BHLHA15	5784.133470105959	9.797958971132712
BruLib30914	MTF2	481166.3656075723	1175.7550765359254
BruLib16015	DPF2	10641.95705685754	22.045407685048602
BruLib70724	CENPW	66975.7401004274	124.92397688194207
BruLib59447	FCRLB	29186.539500255934	29.393876913398135
BruLib13702	PF4	11061.97848488235	51.43928459844673
BruLib30538	PRAF2	31932.942238384483	22.045407685048602
BruLib18351	STAT3	33918.498079956305	291.4892793911982
BruLib62186	BTBD19	28998.44909646031	19.595917942265423
BruLib61405	MIPOL1	5958.081738277849	0.0
BruLib5889	EVX1	65059.480723411856	12426.261465139061
BruLib68826	C1QTNF9	151557.02483883747	117.57550765359254
BruLib58399	FGD4	55881.23470361047	44.090815370097204
BruLib65363	TYSND1	58160.946966155905	778.9377382050506
BruLib71796	OR11H4	7962.022356160524	14.696938456699067
BruLib54247	SFT2D3	199781.70731576	340.4790742468617
BruLib42329	UFSP2	14301.94175627911	4.898979485566356
BruLib55502	LRRC46	77109.994488393	139.62091533864114
BruLib1291	SERPINC1	14888.840384663943	34.29285639896449
BruLib30007	SNRNP35	55328.277200722594	56.33826408401309
BruLib28781	IGF2BP2	52583.288676156415	90.63112048297758
BruLib16695	RYK	132412.81584499287	227.80254607883555
BruLib56900	NACC1	47183.821295015936	61.23724356957945
BruLib9265	IFNG	118820.80929702506	124.92397688194207
BruLib31646	HECW1	13828.180212884123	24.49489742783178
BruLib60099	SPATA4	266835.22916211793	335.58009476129536
BruLib46461	ZP4	44274.78399721448	44.090815370097204
BruLib47944	SMURF2	66869.67408324943	122.4744871391589
BruLib35445	ACAD8	52939.67049387444	328.2316255329458
BruLib45154	TMEM63C	30542.770306571732	254.7469332494505
BruLib25028	RPH3AL	32538.225643080168	41.641325627314025
BruLib4629	DDT	10937.527691393516	12.24744871391589
BruLib50993	ELL3	3049.0444404763925	374.7719306458262
BruLib19029	NR2F2	48391.55967728256	149.41887430977386
BruLib61324	TMEM120B	180208.99161251637	382.12039987417575
BruLib36159	SLCO4A1	574576.5856158776	842.6244715174132
BruLib18374	STAU1	78833.9208209258	107.77754868245982
BruLib35977	ZNF544	129564.58973037347	161.66632302368973
BruLib10701	LMAN1	33069.96994253245	36.74234614174767
BruLib45844	IFT80	173682.39602216452	230.25203582161873
BruLib35631	SMC1B	29581.105084158025	19.595917942265423
BruLib5813	ESRRB	113779.13794716499	362.5244819319103
BruLib46176	EPB41L5	246945.7296209027	323.33264604737946
BruLib30353	WDHD1	44393.577936453825	249.84795376388414
BruLib18168	SRD5A2	20691.35863108075	29.393876913398135
BruLib33827	FBXL2	30810.056669860245	330.68111527572904
BruLib45488	DSCAML1	95541.43984680154	137.17142559585795
BruLib56934	AHNAK2	10806.005830092818	7.348469228349534
BruLib9477	IL10RA	89439.10832516164	75.93418202627852
BruLib23909	INA	1606.5466068558358	2.449489742783178
BruLib8526	HMOX2	35416.150242509415	53.88877434122991
BruLib4313	CYBB	1111.5718600252526	2.449489742783178
BruLib48824	PRRG3	43472.92490734894	48.98979485566356
BruLib3880	CREM	331299.3259757707	460.50407164323747
BruLib18938	TDO2	245766.27550988356	391.9183588453085
BruLib73011	RIMBP3B	229091.2833959424	274.3428511917159
BruLib59379	A3GALT2	276120.9554126597	377.2214203886094
BruLib63185	ZNF645	243927.79787879853	401.7163178164412
BruLib19225	TK1	50678.34300763986	56.33826408401309
BruLib41414	PLEKHB2	62955.13094260069	805.8821253756655
BruLib39767	RIPK4	30309.42506878017	19.595917942265423
BruLib23142	SOCS2	8746.910883277593	654.0137613231085
BruLib75423	LOC100132146	2730.846388942446	97.97958971132712
BruLib27770	EMC8	32492.97080908423	75.93418202627852
BruLib48375	RAPH1	10335.072713822577	7.348469228349534
BruLib36997	PILRA	57063.51724175438	80.83316151184486
BruLib11124	MAPT	69549.60878394643	6219.254456926488
BruLib58982	COX6B2	157079.5287999044	1018.987732997802
BruLib10472	LAMA4	95269.9108428259	521.7413152128169
BruLib60503	NKX2-6	38282.76113343968	41.641325627314025
BruLib59794	AP1S3	3495.9359261862905	382.12039987417575
BruLib69015	ESPNL	3184.80894246421	39.191835884530846
BruLib30708	PNKP	49035.02684816232	144.51989482420748
BruLib64872	SLC39A11	59338.98686361269	11997.600760152005
BruLib43863	UBFD1	52979.26847362088	191.06019993708787
BruLib50935	CFAP43	56478.03282693192	151.86836405255704
BruLib15958	OPN1LW	6882.977408069853	29.393876913398135
BruLib61665	CDRT15	26509.433226683665	161.66632302368973
BruLib29907	ADAP1	2061.9233739399724	4.898979485566356
BruLib1194	ARSA	9206.530291048848	12.24744871391589
BruLib17486	SLC4A1	28926.324204779285	2434.7928043264787
BruLib119	ACAT1	5959.495951840222	9.797958971132712
BruLib75769	IGLL5	47861.22959139265	71.03520254071216
BruLib5969	F9	9526.142556145167	4.898979485566356
BruLib62973	SLC2A7	153799.9675487612	173.91377173760563
BruLib49389	ACSS3	82218.13387568462	107.77754868245982
BruLib29201	RPP40	923.481456229631	2.449489742783178
BruLib75234	LOC100129697	75855.58705856807	90.63112048297758
BruLib74794	NBPF8	48812.99531886975	48.98979485566356
BruLib56127	MTDH	19790.50459184909	34.29285639896449
BruLib71593	OR52N2	51941.23571883903	668.7106997798076
BruLib47108	MANBAL	78760.38171568241	240.04999479275142
BruLib9603	INHBA	233150.07631995316	315.9841768190299
BruLib71249	SP5	5467.349632134385	4.898979485566356
BruLib31827	KDM6B	6793.881953640348	7.348469228349534
BruLib4677	DEFA1	133876.52688204902	325.78213579016267
BruLib24239	LRAT	54888.45678282456	78.38367176906169
BruLib26926	TSPAN32	316471.2967742888	465.4030511288038
BruLib21522	DYSF	42031.84128729076	46.54030511288038
BruLib9156	IDH3G	59162.21016831605	71.03520254071216
BruLib33034	ANP32C	383857.1588078044	482.54947932828605
BruLib74253	ANXA8	55654.96053363078	110.22703842524301
BruLib6351	FKBP1B	37415.848219704974	120.02499739637571
BruLib61075	CNBD2	3327.6445122638925	237.60050504996826
BruLib25851	SNPH	9432.804461028543	22.045407685048602
BruLib74537	CT47A9	12877.828698969402	71.03520254071216
BruLib60930	SOGA1	165033.06587469068	159.21683328090657
BruLib6906	GATA1	46366.40585596429	66.1362230551458
BruLib66077	SLC29A4	17773.83605190506	22.045407685048602
BruLib42821	STAP2	139003.0510456515	5121.883052159625
BruLib25795	USP34	138334.12803064904	193.50968967987106
BruLib45651	NLGN4X	101830.4475586747	134.7219358530748
BruLib7583	GPR27	87648.71395519731	132.2724461102916
BruLib68605	KRTAP7-1	47801.832621772985	51.43928459844673
BruLib21898	ZNF282	24987.739433570216	34.29285639896449
BruLib28420	BATF	22183.353939384368	41.641325627314025
BruLib42289	TMEM144	23665.44975275137	29.393876913398135
BruLib54538	ZFYVE19	38322.359113186125	210.6561178793533
BruLib40319	CCNJ	1985.5558415718253	2.449489742783178
BruLib27371	FLOT1	10735.295151974164	12.24744871391589
BruLib41171	C4orf27	71639.81642913388	132.2724461102916
BruLib3392	CLK1	218023.64805681055	279.2418306772823
BruLib73901	SDHAF1	21645.95278568259	36.74234614174767
BruLib67939	CYB561D1	18488.01390090347	22.045407685048602
BruLib65717	CPNE2	33283.51619045079	169.01479225203929
BruLib23064	DPM1	29217.65219862814	281.69132042006544
BruLib55826	SESTD1	26563.17334205384	29.393876913398135
BruLib60691	APOOL	88614.62181829812	107.77754868245982
BruLib50488	WDR76	26239.3184362704	15784.511902494798
BruLib60748	ZFP92	2153.8472554942236	2.449489742783178
BruLib24625	NRXN3	6744.3844789572895	105.32805893967665
BruLib14557	PPOX	129633.88619492974	127.37346662472525
BruLib48995	PPDPF	11564.024299524797	19.595917942265423
BruLib23760	CLDN12	7624.025314753355	12.24744871391589
BruLib57972	TAGAP	172879.12271873662	225.35305633605236
BruLib57649	LRRC3B	20614.991098712606	31.843366656181313
BruLib35893	PCDH17	94728.26704843702	144.51989482420748
BruLib42741	ZCCHC8	23860.611224358858	78.38367176906169
BruLib7042	GDI1	96719.47974425834	110.22703842524301
BruLib41929	ARL8B	19708.48020523145	19.595917942265423
BruLib20395	YWHAE	1856.8624073958736	9.797958971132712
BruLib24369	BCL7C	104152.58622809133	347.82754347521126
BruLib17045	CXCL11	12938.639882151445	22.045407685048602
BruLib74880	ZNF286B	58757.74508947735	3176.988196389782
BruLib57732	RBP7	20005.4650533298	19.595917942265423
BruLib53440	MRPL45	355530.4611534713	484.9989690710692
BruLib47853	GIGYF1	237429.48655969417	284.14081016284865
BruLib48608	TRAK2	90956.55947758797	188.6107101943047
BruLib33822	PRDX5	2194.8594488030435	195.95917942265424
BruLib57117	EFHC1	127265.07847795481	154.3178537953402
BruLib71259	C2orf80	172374.24847696943	276.7923409344991
BruLib70252	PTCHD3	8464.068170802973	213.1056076221365
BruLib32389	KIF13B	57343.53152710426	75.93418202627852
BruLib67485	PLA2G4D	40508.73328061493	66.1362230551458
BruLib40205	CRCT1	34033.04937850853	66.1362230551458
BruLib47933	ACBD3	24793.9921755251	51.43928459844673
BruLib61111	ASB15	21009.556682614697	46.54030511288038
BruLib2097	CA2	32050.32196406145	502.1453972705515
BruLib34482	GIGYF2	29735.254362456693	29.393876913398135
BruLib61628	TOM1L2	16612.766717196748	1369.2647662157965
BruLib61437	ISM2	2723.775321130581	36.74234614174767
BruLib74760	SLC35E2B	3880.6020151517723	2.449489742783178
BruLib30618	HRH3	59056.14415113807	12225.40330623084
BruLib54018	ACCS	102202.38572557882	134.7219358530748
BruLib27367	TOPORS	76933.21779309637	742.1953920633028
BruLib76575	Non-Targeting Control	76483.49788026173	95.53009996854394
BruLib67943	ANKRD34A	155192.96790769868	220.45407685048602
BruLib15534	PTX3	34967.844543237145	244.9489742783178
BruLib71451	RBM12B	3914.543140648727	4.898979485566356
BruLib75776	MTRNR2L1	4096.976690194856	26.944387170614956
BruLib53235	SLC37A3	22915.91656469363	19.595917942265423
BruLib75456	FAM159B	5423.509011700819	7.348469228349534
BruLib29240	WASF3	88457.64411287471	80.83316151184486
BruLib18847	GCFC2	252933.5098439904	453.1556024148879
BruLib76465	Non-Targeting Control	85408.59967239833	8891.647766302936
BruLib72609	OR5H15	1917.6735905779167	2.449489742783178
BruLib39031	RAB6B	7906.8680272279735	14.696938456699067
BruLib40434	RBFOX1	5331.585130146568	680.9581484937235
BruLib54872	RGS8	19774.948242662987	71.03520254071216
BruLib33441	PLA2G15	11614.935987770228	7.348469228349534
BruLib56767	LIMS3	48499.03990802292	61.23724356957945
BruLib55843	RCCD1	102277.3390443846	222.90356659326918
BruLib45096	RGL3	85873.87593441908	120.02499739637571
BruLib6617	ADAM2	2448.0036764678275	276.7923409344991
BruLib66736	NUDT14	30023.753929180806	44.090815370097204
BruLib62675	NFXL1	46301.35203209513	191.06019993708787
BruLib75342	C7orf72	94114.4983623671	492.34743829941874
BruLib48919	METTL22	16307.296587724157	19.595917942265423
BruLib37684	MRPL2	37243.31416509546	61.23724356957945
BruLib39561	UBASH3A	59555.36153865577	56.33826408401309
BruLib74693	TSPY8	9014.197246566107	12.24744871391589
BruLib43566	CISD1	241257.76267303812	384.5698896169589
BruLib76497	Non-Targeting Control	45796.47779032793	97.97958971132712
BruLib13085	OR3A1	11902.021340931968	12.24744871391589
BruLib47936	MFSD1	165307.42330579108	186.16122045152153
BruLib21509	EPX	10377.49912069377	12.24744871391589
BruLib49628	MSANTD2	103053.74229012743	73.48469228349533
BruLib11237	MCM3	63148.878200645806	115.12601791080937
BruLib48039	CERK	9504.92935270957	1516.234150782787
BruLib23991	CBFA2T2	8109.100566647327	443.3576434437552
BruLib75101	PSAPL1	67600.8224949963	90.63112048297758
BruLib3274	CIDEA	3686.8547571066583	2.449489742783178
BruLib8030	GYG1	63812.14436139879	83.28265125462805
BruLib37966	CERCAM	52116.598200573295	117.57550765359254
BruLib20706	ZBTB16	134167.8548758979	362.5244819319103
BruLib22445	STC2	4863.480441001074	51.43928459844673
BruLib61078	STK35	9803.328414370293	14.696938456699067
BruLib2988	CDX2	52388.12720454893	61.23724356957945
BruLib44874	RSRP1	77317.88388206184	134.7219358530748
BruLib73285	BPY2B	31020.774490653836	26.944387170614956
BruLib30162	FGFR1OP	120741.31131472772	230.25203582161873
BruLib77075	Non-Targeting Control	14955.308422095479	9.797958971132712
BruLib5865	ETV6	32409.532208904217	181.26224096595516
BruLib39125	PIGT	15782.623356083739	17.146428199482244
BruLib3878	CREM	99837.82064929101	139.62091533864114
BruLib11168	MAX	530.3300858899106	2.449489742783178
BruLib59868	MDH1B	204703.17051281838	240.04999479275142
BruLib7626	FFAR3	53359.69192189925	75.93418202627852
BruLib53784	PGBD1	2889.238307928233	9.797958971132712
BruLib14328	PODXL	39620.60716344463	56.33826408401309
BruLib54618	UBASH3B	23723.432508808666	22.045407685048602
BruLib30986	ZNF507	48473.5840639002	95.53009996854394
BruLib73040	SMIM4	134172.097516585	215.55509736491965
BruLib65537	DDIAS	60244.08354353147	105.32805893967665
BruLib19692	TTC4	18073.649327128154	14.696938456699067
BruLib65444	TPCN2	70140.75005301839	117.57550765359254
BruLib6262	FGF8	19378.96844519852	39.191835884530846
BruLib7577	GPR26	29060.674493204726	22.045407685048602
BruLib4301	CYB5A	79761.64491784255	693.2055972076394
BruLib12555	NFKBIE	52149.12511250788	88.18163074019441
BruLib38756	SCARA3	17476.851203806706	63.68673331236263
BruLib23746	MAP3K6	16546.298679765212	183.71173070873834
BruLib8302	HFE	13635.847168401382	80.83316151184486
BruLib6646	FUT2	7428.863843145868	328.2316255329458
BruLib67888	HKR1	1977.0705601975867	9.797958971132712
BruLib68824	SLCO1B7	18770.856613378088	44.090815370097204
BruLib11891	MTTP	91403.45096329787	120.02499739637571
BruLib14213	PLS3	65215.0442152729	1180.6540560214917
BruLib55854	ACBD5	44891.38111040915	63.68673331236263
BruLib59279	OR2M3	12795.804312351764	17.146428199482244
BruLib33489	GABARAPL1	191896.05249196762	411.51427678757386
BruLib61662	SLC47A2	38535.905361104466	75.93418202627852
BruLib30450	WIF1	44161.646912224634	51.43928459844673
BruLib387	ADPRH	107273.75556024874	1971.8392429404582
BruLib33559	FKBP8	40039.21437790706	75.93418202627852
BruLib53471	CMSS1	15533.721769106074	14.696938456699067
BruLib5637	DMTN	29312.40450730714	34.29285639896449
BruLib18142	SPTB	79630.12305654185	884.2657971447272
BruLib51838	TRMT1L	21269.771978091347	132.2724461102916
BruLib44916	PCBP4	34867.435380308656	29.393876913398135
BruLib42772	PPP1R9A	17778.078692592175	97.97958971132712
BruLib13907	SERPINE2	42415.09316269386	68.58571279792898
BruLib33808	MTO1	7141.778489984129	7.348469228349534
BruLib36609	PARVB	61515.461536104885	923.4576330292581
BruLib18066	SPINK1	3213.0932137116715	4.898979485566356
BruLib44076	TEX11	11486.242553594277	44.090815370097204
BruLib42264	GIMAP4	31870.716841640067	44.090815370097204
BruLib65329	C10orf107	35194.11871321684	46.54030511288038
BruLib74026	MT1HL1	24973.597297946482	335.58009476129536
BruLib22835	MYOM1	137246.5978011841	266.9943819633664
BruLib51718	ACTL8	125839.55120708274	129.82295636750843
BruLib72493	SLC25A53	7079.553093239713	12.24744871391589
BruLib58554	NOXRED1	19668.882225485006	90.63112048297758
BruLib16167	RLF	1374.6155826266483	7.348469228349534
BruLib21228	CSRP3	101977.5257691615	134.7219358530748
BruLib39737	PCBP3	55159.98578680019	63.68673331236263
BruLib64361	ZNF367	58616.32373324004	269.4438717061496
BruLib65821	ARMC12	123424.07444254949	166.5653025092561
BruLib21053	ST8SIA4	33826.57419840206	61.23724356957945
BruLib70505	GJB7	222376.59740179495	318.43366656181314
BruLib76210	LOC100652758	117340.12769722044	732.3974330921702
BruLib27141	AKAP9	16397.806255716037	22.045407685048602
BruLib57474	LRRC42	87525.67737527084	115.12601791080937
BruLib19712	TUB	2552.6554800834365	132.2724461102916
BruLib67592	VMO1	67153.93100928642	12977.396657265277
BruLib9697	IRF1	15147.64146657822	73.48469228349533
BruLib63232	MAGEB6	17530.591319176885	34.29285639896449
BruLib67588	HEXDC	68440.86535104593	97.97958971132712
BruLib65161	C2orf69	9028.339382189837	12.24744871391589
BruLib31137	ZNF365	11459.372495909189	39.191835884530846
BruLib62778	TMEM161B	24645.499751475927	85.73214099741122
BruLib74272	PRB2	7250.6729342868575	46.54030511288038
BruLib77259	Non-Targeting Control	19666.05379836026	34.29285639896449
BruLib22790	SNX4	92215.20954810003	1827.3193481162507
BruLib76884	Non-Targeting Control	41944.160046423625	17.146428199482244
BruLib9973	KCNB1	6014.650280772773	1293.3305841895178
BruLib33674	TBC1D22A	28957.43690315149	24.49489742783178
BruLib22717	DNAH11	36284.4773698065	58.78775382679627
BruLib37835	RDH11	57670.214860012435	78.38367176906169
BruLib10896	LY75	5710.594364862557	7.348469228349534
BruLib8821	HRAS	31790.1066685848	71.03520254071216
BruLib52994	SYDE2	1322.2896808188439	2.449489742783178
BruLib27527	SPRY1	647.7098115668774	0.0
BruLib7710	GRIA2	7048.440394867505	2.449489742783178
BruLib17704	SLC22A3	32726.31604687579	198.4086691654374
BruLib2861	CDH9	41823.95189362191	75.93418202627852
BruLib62968	ZNF746	4255.368609180643	2.449489742783178
BruLib74079	LACTBL1	24393.769737373514	24.49489742783178
BruLib42999	SLC30A6	24887.330270641723	36.74234614174767
BruLib11665	MOBP	5194.4064145963775	12.24744871391589
BruLib37965	CERCAM	43611.5178364615	83.28265125462805
BruLib31435	MAPKBP1	35257.75832352363	142.07040508142433
BruLib71580	OR52D1	3073.086071036735	7.348469228349534
BruLib62519	WDSUB1	7666.451721624548	12.24744871391589
BruLib16643	RREB1	30802.985602048382	203.30764865100377
BruLib22878	ADAM20	29175.225791756948	53.88877434122991
BruLib53872	ZNF469	9895.252295924545	19.595917942265423
BruLib25548	ZNF432	40269.731188573875	46.54030511288038
BruLib7624	FFAR1	4833.781956191238	9.797958971132712
BruLib75307	LOC100130705	3541.1907601822295	9.797958971132712
BruLib6856	GALNT3	148878.5043517028	181.26224096595516
BruLib34732	OR1A2	11155.316579998973	17.146428199482244
