id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
APOC2	2	0.0031684	0.0062206	0.849692	151	1	-5.1362	0.53406	0.53436	0.923281	9977	0	-5.1362
SLX1A	2	0.0032388	0.0063515	0.849692	152	2	-6.9575	0.99676	0.99674	0.999981	18461	0	-6.9575
PDSS1	2	0.0032388	0.0063515	0.849692	153	2	-8.5274	0.99676	0.99674	0.999981	18462	0	-8.5274
SLC25A44	4	0.0033532	0.011809	0.849692	154	2	-3.8096	0.038639	0.052582	0.915138	808	1	-3.8096
GABRR3	4	0.0033605	0.011835	0.849692	155	2	-4.587	0.35658	0.35595	0.915138	6377	0	-4.587
ACTR3B	3	0.0033847	0.009397	0.849692	156	1	0.020264	0.28159	0.2813	0.915138	5015	0	0.020264
LRRC42	4	0.003412	0.012001	0.849692	157	2	-4.6803	0.062005	0.072633	0.915138	1215	1	-4.6803
COL26A1	4	0.0034359	0.012086	0.849692	158	1	-0.98997	0.48897	0.48873	0.923281	7727	0	-0.98997
BOLA1	3	0.0034467	0.009562	0.849692	159	2	-2.3059	0.13107	0.13122	0.915138	2292	1	-2.3059
MN1	2	0.0034581	0.0067708	0.849692	160	2	-5.9013	0.97712	0.97727	0.99771	18030	0	-5.9013
C11orf16	3	0.0034616	0.0095994	0.849692	161	3	-3.5518	0.99654	0.99659	0.999981	18458	0	-3.5518
LVRN	3	0.0034616	0.0095994	0.849692	162	3	-3.7741	0.99654	0.99659	0.999981	18459	0	-3.7741
PDE1C	3	0.0034616	0.0095994	0.849692	163	3	-5.0574	0.99654	0.99659	0.999981	18457	0	-5.0574
CCDC160	3	0.0034616	0.0095994	0.849692	164	3	-3.5665	0.99654	0.99659	0.999981	18460	0	-3.5665
REXO2	4	0.0034696	0.012206	0.849692	165	2	-4.5408	0.7829	0.78269	0.923281	14243	0	-4.5408
POU3F4	3	0.0035088	0.0097308	0.849692	166	2	-1.7052	0.38681	0.38682	0.923281	7324	0	-1.7052
TNS2	2	0.0035121	0.0068728	0.849692	167	2	-7.0084	0.99649	0.99647	0.999981	18456	0	-7.0084
LOC100130451	4	0.0036013	0.012636	0.849692	168	2	-3.2149	0.52237	0.52197	0.923281	7830	0	-3.2149
APBA3	2	0.0036398	0.0071154	0.849692	169	2	-6.1226	0.99636	0.99633	0.999981	18455	0	-6.1226
RAPH1	2	0.003665	0.0071549	0.849692	170	1	-5.895	0.80469	0.80412	0.923281	15833	0	-5.895
EXOC3L2	3	0.0036948	0.010229	0.849692	171	2	-1.5716	0.91368	0.91376	0.97872	16953	0	-1.5716
AKR1E2	2	0.0037063	0.0072372	0.849692	172	1	-5.3081	0.19787	0.19774	0.915138	3664	0	-5.3081
TNFRSF10B	4	0.003711	0.013016	0.849692	173	3	-3.7862	0.7829	0.78269	0.923281	14804	0	-3.7862
FGB	3	0.0037386	0.010353	0.849692	174	2	-7.2365	0.28159	0.2813	0.915138	5077	0	-7.2365
CLEC2L	1	0.0037409	0.0036623	0.849692	175	1	-10.577	0.99626	0.99633	0.999981	18454	0	-10.577
RNPS1	2	0.0037477	0.0073248	0.849692	176	1	-5.5935	0.30889	0.30885	0.915138	5305	0	-5.5935
DSC1	3	0.0037569	0.010402	0.849692	177	2	-1.5716	0.68195	0.68195	0.923281	12830	0	-1.5716
WIPI2	2	0.0037891	0.0073964	0.849692	178	1	-5.5876	0.80469	0.80412	0.923281	15481	0	-5.5876
TCERG1L	4	0.0038009	0.013305	0.849692	179	3	-5.1805	0.96185	0.96192	0.994548	17923	0	-5.1805
S100P	4	0.0038433	0.013452	0.849692	180	3	-4.9892	0.35658	0.35595	0.915138	6633	0	-4.9892
HERC1	3	0.0038508	0.010652	0.849692	181	2	-7.1694	0.063189	0.067471	0.915138	1245	1	-7.1694
SYTL5	4	0.0038738	0.013549	0.849692	182	3	-5.4883	0.96185	0.96192	0.994548	17838	0	-5.4883
RASL12	3	0.0038813	0.010734	0.849692	183	2	-7.1595	0.68195	0.68195	0.923281	12500	0	-7.1595
FA2H	3	0.003901	0.01079	0.849692	184	3	-7.8128	0.98984	0.98996	0.999945	18308	0	-7.8128
AKAP3	2	0.0040707	0.0079445	0.849692	185	2	-7.9854	0.99593	0.9959	0.999981	18452	0	-7.9854
LCE3B	3	0.0041289	0.0114	0.849692	186	1	0.020264	0.13107	0.13122	0.915138	2534	1	0.020264
TMEM192	3	0.0041497	0.011456	0.849692	187	2	-7.8247	0.68195	0.68195	0.923281	11018	0	-7.8247
SLC4A11	4	0.0041799	0.014587	0.849692	188	4	-1.6786	0.98759	0.98758	0.999945	18272	0	-1.6786
ABHD13	4	0.0042625	0.014866	0.849692	189	3	-2.6018	0.17082	0.17154	0.915138	2796	1	-2.6018
WDR64	2	0.0043682	0.0085203	0.849692	190	1	-5.1565	0.19787	0.19774	0.915138	3841	0	-5.1565
CIDEA	3	0.0043769	0.012092	0.849692	191	1	-0.98997	0.68195	0.68195	0.923281	12183	0	-0.98997
MCTP2	2	0.0044121	0.0085973	0.849692	192	2	-6.4431	0.99559	0.99555	0.999981	18451	0	-6.4431
NAT2	3	0.0044389	0.012283	0.849692	193	3	-2.9709	0.97982	0.97995	0.99771	18136	0	-2.9709
DDIAS	3	0.0045249	0.012524	0.849692	194	2	-7.8988	0.68195	0.68195	0.923281	11844	0	-7.8988
PRPF6	1	0.0045284	0.0044374	0.849692	195	1	-10.583	0.99547	0.99553	0.999981	18450	0	-10.583
SAP30BP	2	0.004575	0.0088948	0.849692	196	2	-6.3222	0.97712	0.97727	0.99771	18034	0	-6.3222
TSPYL6	4	0.0045904	0.015955	0.849692	197	3	-4.3371	0.96185	0.96192	0.994548	17850	0	-4.3371
CTAGE6	4	0.0045904	0.015955	0.849692	198	3	-4.597	0.7829	0.78269	0.923281	13765	0	-4.597
NCOA6	2	0.0046139	0.0089781	0.849692	199	2	-7.8605	0.99539	0.99535	0.999981	18449	0	-7.8605
TRIM3	2	0.004621	0.0089872	0.849692	200	2	-5.9136	0.99538	0.99534	0.999981	18448	0	-5.9136
MAST4	3	0.0046299	0.012823	0.849692	201	3	-2.3059	0.99537	0.99548	0.999981	18441	0	-2.3059
GNAT1	3	0.0046299	0.012823	0.849692	202	3	-3.6819	0.99537	0.99548	0.999981	18444	0	-3.6819
PLEKHA5	3	0.0046299	0.012823	0.849692	203	3	-6.1296	0.99537	0.99548	0.999981	18440	0	-6.1296
OR1G1	3	0.0046299	0.012823	0.849692	204	3	-2.5563	0.99537	0.99548	0.999981	18442	0	-2.5563
MAGEA10-MAGEA5	3	0.0046299	0.012823	0.849692	205	3	-2.3059	0.99537	0.99548	0.999981	18447	0	-2.3059
SH2D4B	3	0.0046299	0.012823	0.849692	206	3	-1.2956	0.99537	0.99548	0.999981	18446	0	-1.2956
SLC10A5	3	0.0046299	0.012823	0.849692	207	3	-2.3059	0.99537	0.99548	0.999981	18443	0	-2.3059
ESPNL	3	0.0046299	0.012823	0.849692	208	3	-2.1901	0.99537	0.99548	0.999981	18445	0	-2.1901
GAL3ST4	3	0.0046869	0.012973	0.849692	209	1	0.020264	0.08595	0.088512	0.915138	1461	1	0.020264
NBPF8	1	0.0046942	0.0046115	0.849692	210	1	-10.643	0.99531	0.99538	0.999981	18439	0	-10.643
OR3A3	4	0.0047194	0.016391	0.849692	211	3	-5.1017	0.52237	0.52197	0.923281	7829	0	-5.1017
ZNF83	3	0.0047293	0.013095	0.849692	212	2	-7.8192	0.28159	0.2813	0.915138	4498	0	-7.8192
IRF3	4	0.0048046	0.016695	0.849692	213	4	-3.7202	0.9945	0.99452	0.999945	18417	0	-3.7202
BHLHA15	4	0.0048311	0.016774	0.849692	214	3	-4.6414	0.7829	0.78269	0.923281	14422	0	-4.6414
KCNT1	3	0.0048728	0.013464	0.849692	215	1	0.60862	0.08595	0.088512	0.915138	1431	1	0.60862
RLF	3	0.0048818	0.013488	0.849692	216	2	-7.7679	0.68195	0.68195	0.923281	12231	0	-7.7679
C8orf74	3	0.0048818	0.013488	0.849692	217	2	-7.7679	0.68195	0.68195	0.923281	11468	0	-7.7679
CTSK	3	0.0049348	0.013629	0.849692	218	2	-2.3059	0.37738	0.37727	0.923281	7214	0	-2.3059
ERICH5	3	0.0049552	0.013689	0.849692	219	2	-7.7415	0.68195	0.68195	0.923281	11806	0	-7.7415
TEX11	4	0.0050191	0.017379	0.849692	220	2	-4.8452	0.35658	0.35595	0.915138	7032	0	-4.8452
SLMAP	4	0.0050264	0.017408	0.849692	221	3	-4.408	0.52237	0.52197	0.923281	7923	0	-4.408
COA6	2	0.0050298	0.0097832	0.849692	222	1	-4.9101	0.19787	0.19774	0.915138	3764	0	-4.9101
LURAP1L	3	0.0050587	0.013962	0.849692	223	1	0.60862	0.13107	0.13122	0.915138	2273	1	0.60862
AKAP8	4	0.0051023	0.017663	0.849692	224	2	-4.0784	0.11293	0.11781	0.915138	2079	1	-4.0784
ING1	2	0.0051539	0.010031	0.849692	225	1	-4.9965	0.53406	0.53436	0.923281	9962	0	-4.9965
GALNT3	4	0.0051617	0.01784	0.849692	226	3	-5.0803	0.96185	0.96192	0.994548	17770	0	-5.0803
MUC21	2	0.0051868	0.010092	0.849692	227	2	-6.1674	0.99481	0.99476	0.999945	18438	0	-6.1674
TSPAN8	3	0.0052038	0.014365	0.849692	228	2	-7.4429	0.91368	0.91376	0.97872	17011	0	-7.4429
TMEM182	2	0.0052365	0.010187	0.849692	229	1	-5.7049	0.80469	0.80412	0.923281	15349	0	-5.7049
